bodyId_pre,bodyId_post,weight
12781,522822,288
556329,15884,238
12781,513052,150
556329,10141,116
12781,162471,82
556329,25047,79
556329,805181,70
556329,800721,69
12781,22728,66
12781,800632,61
556329,809623,58
12781,802194,57
556329,513052,52
12781,808666,51
556329,802700,49
12781,803722,46
556329,23566,44
12781,920112,44
556329,809413,43
12781,904849,43
12781,805509,42
556329,810576,42
556329,804287,41
12781,804151,41
556329,804104,39
12781,808828,39
12781,808799,39
12781,808745,39
556329,802735,39
556329,803043,39
12781,810781,38
12781,807178,38
556329,902605,38
12781,808809,37
12781,1051816135,37
12781,811015,37
556329,812457,36
12781,802269,36
556329,807305,35
556329,903577,35
12781,902440,35
556329,813045,35
556329,909274,35
556329,808591,35
12781,808244,34
12781,813121,34
12781,800303,34
556329,814118,34
12781,806053,34
12781,812691,34
12781,904925,34
556329,807367,33
12781,810648,33
556329,809383,33
12781,804731,32
12781,952874,32
12781,902818,32
12781,813743,32
556329,907190,32
556329,810923,32
556329,810106,32
556329,812579,32
12781,808145,32
556329,908752,31
556329,810616,31
12781,814311,31
12781,811464,31
12781,902308,31
556329,813099,30
556329,800225,30
12781,907232,30
556329,808495,30
12781,809018,30
12781,808083,30
12781,906268,29
556329,808535,29
12781,808734,29
12781,10706,29
12781,814070,29
12781,814383,29
556329,812110,29
556329,800243,29
12781,808225,29
12781,909241,28
556329,812534,28
556329,807601,28
556329,919591,28
556329,809801,28
12781,801938,28
12781,812896,28
12781,813339,28
556329,903792,28
556329,813715,28
556329,813968,28
556329,813828,28
12781,10141,28
12781,807098,28
556329,908949,28
12781,808954,27
12781,817036,27
556329,808196,27
556329,813519,27
556329,804447,27
12781,911768,27
12781,800835,27
12781,812423,27
556329,903386,27
12781,809487,27
12781,813597,27
12781,807446,26
556329,909576,26
12781,808381,26
12781,804745,26
556329,902662,26
12781,812966,26
556329,812772,26
556329,812449,26
12781,804120,26
556329,813815,26
12781,812380,25
556329,815170,25
12781,814176,25
556329,812277,25
556329,814202,25
12781,13181,25
556329,814015,25
12781,909568,25
556329,13381,25
12781,814623,25
556329,908636,24
12781,810191,24
556329,808544,24
556329,808437,24
556329,809408,24
556329,814180,24
12781,807746,24
556329,816047,24
556329,909388,24
556329,12868,24
556329,812627,24
556329,517631,24
556329,813672,24
556329,909577,24
556329,814897,24
12781,813421,24
556329,902839,24
12781,812058,23
12781,813813,23
556329,904178,23
12781,813048,23
556329,813354,23
556329,911686,23
556329,909751,23
556329,809530,23
556329,809679,23
556329,806641,23
556329,558912,23
556329,807356,23
556329,808367,23
556329,813713,23
12781,815559,23
556329,813889,23
556329,813975,23
12781,812782,23
12781,800101,23
556329,810243,22
12781,932853,22
556329,817050,22
556329,809651,22
12781,814960,22
556329,905134,22
12781,814293,22
12781,814249,22
556329,814627,22
12781,813720,22
556329,817292,22
556329,812658,22
12781,814141,22
556329,813885,22
556329,812676,22
12781,810021,21
12781,14994,21
12781,808796,21
12781,810533,21
556329,815148,21
12781,813279,21
12781,814767,21
12781,812680,21
12781,812817,21
12781,811169,21
556329,814986,21
556329,905769,21
12781,813707,21
556329,815642,21
12781,811728,21
556329,813716,21
556329,814153,21
12781,813967,21
556329,813492,21
556329,807173,21
12781,903666,21
556329,813501,21
556329,811729,21
556329,816279,21
556329,809572,21
556329,810934,21
556329,811651,21
12781,31180,21
12781,36082,21
556329,909750,21
556329,911765,21
12781,802906,20
556329,809583,20
556329,809200,20
556329,808808,20
556329,816573,20
556329,816168,20
556329,815715,20
556329,815502,20
556329,70636,20
556329,812231,20
556329,804852,20
556329,805318,20
556329,812003,20
556329,810919,20
12781,22507,20
12781,812375,20
556329,810079,20
556329,808113,20
556329,813408,20
12781,902446,20
556329,815177,20
12781,911960,20
556329,812845,20
556329,812763,20
12781,813731,20
12781,821441,20
556329,902918,20
12781,814397,20
12781,807850,20
12781,805120,20
12781,807236,20
12781,813548,20
556329,27635,19
12781,813023,19
556329,815934,19
12781,810645,19
556329,808273,19
556329,808321,19
556329,808304,19
556329,813601,19
12781,813653,19
556329,816096,19
12781,807687,19
12781,807679,19
556329,902509,19
12781,815295,19
556329,902813,19
12781,812859,19
12781,812791,18
556329,812406,18
556329,813459,18
12781,818106,18
556329,813574,18
556329,813414,18
12781,816473,18
12781,810426,18
556329,805080,18
556329,810021,18
556329,811331,18
556329,816197,18
556329,819356,18
12781,810823,18
12781,812349,18
556329,819904,18
12781,814315,18
12781,815883,18
556329,814452,18
12781,813529,18
12781,808604,18
556329,911874,18
556329,814624,18
556329,815197,18
12781,810804,18
556329,807481,17
556329,810014,17
556329,520132,17
12781,48265,17
556329,809711,17
556329,811688,17
12781,809728,17
556329,816034,17
556329,815186,17
12781,816869,17
12781,816616,17
12781,914689,17
556329,13176,17
556329,812662,17
12781,812386,17
556329,814248,17
556329,814659,17
556329,903316,17
556329,905133,17
556329,813710,17
556329,815221,17
